runid                 	all	mh-contextualized-complete	mh-contextualized-no	mh-contextualized-partial	mh-simple-complete	mh-simple-no	mh-simple-partial	mhw-contextualized-complete	mhw-contextualized-no	mhw-contextualized-partial	mhwcv-contextualized-complete	mhwcv-contextualized-no	mhwcv-contextualized-partial	mhwcv-simple-complete	mhwcv-simple-no	mhwcv-simple-partial	mhw-simple-complete	mhw-simple-no	mhw-simple-partial	mhwv-contextualized-complete	mhwv-contextualized-no	mhwv-contextualized-partial	mhwv-simple-complete	mhwv-simple-no	mhwv-simple-partial	ml-contextualized-complete	ml-contextualized-no	ml-contextualized-partial	ml-simple-complete	ml-simple-no	ml-simple-partial
recip_rank            	2084338651	0.0769	0.0769	0.0769	0.0556	0.0000	0.0556	0.1111	0.1111	0.1111	0.0769	0.0769	0.0769	0.0588	0.0000	0.0588	0.0833	0.0000	0.0833	0.0556	0.0556	0.0556	0.0500	0.0000	0.0500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
num_ret               	2096361993	16	20	16	16	20	16	16	20	16	16	20	16	16	20	16	16	20	16	16	20	16	16	20	16	16	20	16	16	20	16
num_rel               	2096361993	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	2096361993	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
recip_rank            	2096361993	1.0000	1.0000	1.0000	1.0000	0.0909	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.2500	1.0000	1.0000	0.2000	1.0000	1.0000	1.0000	1.0000	0.5000	0.2000	0.5000	1.0000	1.0000	1.0000	1.0000	0.0000	1.0000
num_ret               	2142623124	6	20	6	6	20	6	6	20	6	6	20	6	6	20	6	6	20	6	6	20	6	6	20	6	6	20	6	6	20	6
num_rel               	2142623124	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	2142623124	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0
recip_rank            	2142623124	0.0000	0.1000	0.0000	0.0000	0.1250	0.0000	0.0000	0.1000	0.0000	0.0000	0.1000	0.0000	0.0000	0.1111	0.0000	0.0000	0.1250	0.0000	0.0000	0.1000	0.0000	0.0000	0.1111	0.0000	0.0000	0.1000	0.0000	0.0000	0.2000	0.0000
num_ret               	440243983	4	8	4	4	8	4	4	8	4	4	8	4	4	8	4	4	8	4	4	8	4	4	8	4	4	8	4	4	8	4
num_rel               	440243983	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	440243983	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	440243983	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
num_ret               	440243985	6	12	6	6	12	6	6	12	6	6	12	6	6	12	6	6	12	6	6	12	6	6	12	6	6	12	6	6	12	6
num_rel               	440243985	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	440243985	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	440243985	1.0000	1.0000	1.0000	1.0000	0.1667	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000	1.0000	1.0000	1.0000	1.0000	0.1667	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
num_ret               	440243987	4	7	4	4	7	4	4	7	4	4	7	4	4	7	4	4	7	4	4	7	4	4	7	4	4	7	4	4	7	4
num_rel               	440243987	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	440243987	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	440243987	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
num_ret               	440243989	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9
num_rel               	440243989	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	440243989	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	440243989	1.0000	1.0000	1.0000	1.0000	0.3333	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000	1.0000	0.5000	1.0000	1.0000	1.0000	1.0000	1.0000	0.1429	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
num_ret               	440243991	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12
num_rel               	440243991	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	440243991	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	440243991	1.0000	1.0000	1.0000	1.0000	0.2000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
num_ret               	440244014	11	20	11	11	20	11	11	20	11	11	20	11	11	20	11	11	20	11	11	20	11	11	20	11	11	20	11	11	20	11
num_rel               	440244014	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	440244014	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	440244014	1.0000	1.0000	1.0000	1.0000	0.2500	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
num_ret               	440244016	11	20	11	11	20	11	11	20	11	11	20	11	11	20	11	11	20	11	11	20	11	11	20	11	11	20	11	11	20	11
num_rel               	440244016	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	440244016	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	440244016	1.0000	1.0000	1.0000	1.0000	0.3333	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000	1.0000	0.5000	1.0000	1.0000	1.0000	1.0000	1.0000	0.1429	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
num_ret               	440244050	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12
num_rel               	440244050	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	440244050	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	440244050	1.0000	1.0000	1.0000	1.0000	0.2000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
num_ret               	440244052	8	20	8	8	20	8	8	20	8	8	20	8	8	20	8	8	20	8	8	20	8	8	20	8	8	20	8	8	20	8
num_rel               	440244052	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	440244052	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	440244052	1.0000	1.0000	1.0000	1.0000	0.1667	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.2500	1.0000	1.0000	0.5000	1.0000	1.0000	1.0000	1.0000	0.5000	0.1429	0.5000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
num_ret               	440244075	3	11	3	3	11	3	3	11	3	3	11	3	3	11	3	3	11	3	3	11	3	3	11	3	3	11	3	3	11	3
num_rel               	440244075	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	440244075	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	440244075	1.0000	1.0000	1.0000	1.0000	0.1667	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000	1.0000	0.3333	1.0000	1.0000	1.0000	1.0000	1.0000	0.1667	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
num_ret               	440244077	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9
num_rel               	440244077	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	440244077	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	440244077	0.5000	0.5000	0.5000	1.0000	0.1111	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.1667	1.0000	1.0000	0.3333	1.0000	0.3333	0.3333	0.3333	0.3333	0.0833	0.3333	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
num_ret               	440244079	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9
num_rel               	440244079	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	440244079	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	440244079	1.0000	1.0000	1.0000	1.0000	0.3333	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000	1.0000	0.5000	1.0000	1.0000	1.0000	1.0000	1.0000	0.1429	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
num_ret               	440244106	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12
num_rel               	440244106	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	440244106	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	440244106	1.0000	1.0000	1.0000	1.0000	0.2000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
num_ret               	440244108	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9
num_rel               	440244108	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	440244108	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	440244108	1.0000	1.0000	1.0000	1.0000	0.3333	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000	1.0000	0.5000	1.0000	1.0000	1.0000	1.0000	1.0000	0.1429	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
num_ret               	440244110	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12
num_rel               	440244110	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	440244110	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	440244110	1.0000	1.0000	1.0000	1.0000	0.2000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
num_ret               	440244112	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9
num_rel               	440244112	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	440244112	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	440244112	1.0000	1.0000	1.0000	1.0000	0.3333	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000	1.0000	0.5000	1.0000	1.0000	1.0000	1.0000	1.0000	0.1429	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
num_ret               	440244114	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9
num_rel               	440244114	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	440244114	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	440244114	1.0000	1.0000	1.0000	1.0000	0.3333	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.3333	1.0000	1.0000	0.5000	1.0000	1.0000	1.0000	1.0000	1.0000	0.1429	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
num_ret               	440244137	11	20	11	11	20	11	11	20	11	11	20	11	11	20	11	11	20	11	11	20	11	11	20	11	11	20	11	11	20	11
num_rel               	440244137	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	440244137	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	440244137	1.0000	1.0000	1.0000	1.0000	0.2000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
num_ret               	440244139	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9
num_rel               	440244139	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	440244139	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	440244139	1.0000	1.0000	1.0000	1.0000	0.3333	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000	1.0000	0.5000	1.0000	1.0000	1.0000	1.0000	1.0000	0.1429	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
num_ret               	440244141	14	20	14	14	20	14	14	20	14	14	20	14	14	20	14	14	20	14	14	20	14	14	20	14	14	20	14	14	20	14
num_rel               	440244141	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	440244141	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	440244141	1.0000	1.0000	1.0000	1.0000	0.1667	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
num_ret               	440244143	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9
num_rel               	440244143	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	440244143	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	440244143	1.0000	1.0000	1.0000	1.0000	0.3333	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000	1.0000	0.5000	1.0000	1.0000	1.0000	1.0000	1.0000	0.1429	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
num_ret               	440244145	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9
num_rel               	440244145	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	440244145	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	440244145	1.0000	1.0000	1.0000	1.0000	0.3333	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000	1.0000	0.5000	1.0000	1.0000	1.0000	1.0000	1.0000	0.1429	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
num_ret               	440244168	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12
num_rel               	440244168	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	440244168	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	440244168	1.0000	1.0000	1.0000	1.0000	0.2000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
num_ret               	440244170	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9
num_rel               	440244170	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	440244170	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	440244170	1.0000	1.0000	1.0000	1.0000	0.3333	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000	1.0000	0.5000	1.0000	1.0000	1.0000	1.0000	1.0000	0.1429	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
num_ret               	440244172	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12
num_rel               	440244172	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	440244172	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	440244172	1.0000	1.0000	1.0000	1.0000	0.2000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
num_ret               	440244174	14	20	14	14	20	14	14	20	14	14	20	14	14	20	14	14	20	14	14	20	14	14	20	14	14	20	14	14	20	14
num_rel               	440244174	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	440244174	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	440244174	0.5000	0.5000	0.5000	0.5000	0.0625	0.5000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.0909	1.0000	1.0000	0.2000	1.0000	0.5000	0.5000	0.5000	0.5000	0.0667	0.5000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
num_ret               	440244176	6	12	6	6	12	6	6	12	6	6	12	6	6	12	6	6	12	6	6	12	6	6	12	6	6	12	6	6	12	6
num_rel               	440244176	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	440244176	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	440244176	0.3333	0.3333	0.3333	0.3333	0.1429	0.3333	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.2500	1.0000	1.0000	0.3333	1.0000	1.0000	1.0000	1.0000	0.5000	0.1429	0.5000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
num_ret               	440244199	11	20	11	11	20	11	11	20	11	11	20	11	11	20	11	11	20	11	11	20	11	11	20	11	11	20	11	11	20	11
num_rel               	440244199	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	440244199	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	440244199	1.0000	1.0000	1.0000	1.0000	0.3333	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000	1.0000	0.5000	1.0000	1.0000	1.0000	1.0000	1.0000	0.1429	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
num_ret               	440244201	7	20	7	7	20	7	7	20	7	7	20	7	7	20	7	7	20	7	7	20	7	7	20	7	7	20	7	7	20	7
num_rel               	440244201	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	440244201	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	440244201	0.3333	0.3333	0.3333	0.5000	0.1000	0.5000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.2500	1.0000	1.0000	0.3333	1.0000	0.5000	0.5000	0.5000	0.5000	0.1250	0.5000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
num_ret               	440244203	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12
num_rel               	440244203	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	440244203	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	440244203	1.0000	1.0000	1.0000	1.0000	0.2000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
num_ret               	440244205	14	20	14	14	20	14	14	20	14	14	20	14	14	20	14	14	20	14	14	20	14	14	20	14	14	20	14	14	20	14
num_rel               	440244205	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	440244205	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	440244205	1.0000	1.0000	1.0000	1.0000	0.1667	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
num_ret               	440244230	6	12	6	6	12	6	6	12	6	6	12	6	6	12	6	6	12	6	6	12	6	6	12	6	6	12	6	6	12	6
num_rel               	440244230	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	440244230	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	440244230	1.0000	1.0000	1.0000	1.0000	0.1667	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000	1.0000	1.0000	1.0000	1.0000	0.1667	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
num_ret               	485072553	5	20	5	5	20	5	5	20	5	5	20	5	5	20	5	5	20	5	5	20	5	5	20	5	5	20	5	5	20	5
num_rel               	485072553	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	485072553	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0
recip_rank            	485072553	0.0000	0.1000	0.0000	0.0000	0.1429	0.0000	0.0000	0.1000	0.0000	0.0000	0.1000	0.0000	0.0000	0.1250	0.0000	0.0000	0.1429	0.0000	0.0000	0.1000	0.0000	0.0000	0.1250	0.0000	0.0000	0.1000	0.0000	0.0000	0.1667	0.0000
num_ret               	527735706	15	20	15	15	20	15	15	20	15	15	20	15	15	20	15	15	20	15	15	20	15	15	20	15	15	20	15	15	20	15
num_rel               	527735706	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	527735706	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
recip_rank            	527735706	1.0000	1.0000	1.0000	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000	0.3333	0.3333	0.3333	0.2500	0.0500	0.2500	1.0000	0.0769	1.0000	0.1250	0.1250	0.1250	0.1250	0.0000	0.1250	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
