runid                 	all	mh-contextualized-complete	mh-contextualized-no	mh-contextualized-partial	mh-simple-complete	mh-simple-no	mh-simple-partial	mhsw-contextualized-complete	mhsw-contextualized-no	mhsw-contextualized-partial	mhsw-simple-complete	mhsw-simple-no	mhsw-simple-partial	mhw-contextualized-complete	mhw-contextualized-no	mhw-contextualized-partial	mhwcv-contextualized-complete	mhwcv-contextualized-no	mhwcv-contextualized-partial	mhwcv-simple-complete	mhwcv-simple-no	mhwcv-simple-partial	mhw-simple-complete	mhw-simple-no	mhw-simple-partial	mhwv-contextualized-complete	mhwv-contextualized-no	mhwv-contextualized-partial	mhwv-simple-complete	mhwv-simple-no	mhwv-simple-partial	ml-contextualized-complete	ml-contextualized-no	ml-contextualized-partial	ml-simple-complete	ml-simple-no	ml-simple-partial
recip_rank            	1182289031	1.0000	1.0000	1.0000	1.0000	0.2000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000	1.0000	0.5000	1.0000	1.0000	1.0000	1.0000	0.5000	0.2000	0.5000	1.0000	1.0000	1.0000	1.0000	0.3333	1.0000
set_P                 	1182289031	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	1182289031	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	1182289031	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	1191323255	1	5	1	1	5	1	1	5	1	1	5	1	1	5	1	1	5	1	1	5	1	1	5	1	1	5	1	1	5	1	1	5	1	1	5	1
num_rel               	1191323255	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	1191323255	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1
recip_rank            	1191323255	1.0000	1.0000	1.0000	1.0000	0.2500	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.0000	1.0000	1.0000	0.5000	1.0000	1.0000	1.0000	1.0000	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.0000	1.0000
set_P                 	1191323255	1.0000	0.2000	1.0000	1.0000	0.2000	1.0000	1.0000	0.2000	1.0000	1.0000	0.2000	1.0000	1.0000	0.2000	1.0000	1.0000	0.2000	1.0000	1.0000	0.0000	1.0000	1.0000	0.2000	1.0000	1.0000	0.2000	1.0000	1.0000	0.0000	1.0000	1.0000	0.2000	1.0000	1.0000	0.0000	1.0000
set_recall            	1191323255	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.0000	1.0000
set_F                 	1191323255	1.0000	0.3333	1.0000	1.0000	0.3333	1.0000	1.0000	0.3333	1.0000	1.0000	0.3333	1.0000	1.0000	0.3333	1.0000	1.0000	0.3333	1.0000	1.0000	0.0000	1.0000	1.0000	0.3333	1.0000	1.0000	0.3333	1.0000	1.0000	0.0000	1.0000	1.0000	0.3333	1.0000	1.0000	0.0000	1.0000
num_ret               	1191323257	1	5	1	1	5	1	1	5	1	1	5	1	1	5	1	1	5	1	1	5	1	1	5	1	1	5	1	1	5	1	1	5	1	1	5	1
num_rel               	1191323257	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	1191323257	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	1191323257	1.0000	1.0000	1.0000	1.0000	0.2500	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.3333	1.0000	1.0000	0.5000	1.0000	1.0000	1.0000	1.0000	1.0000	0.3333	1.0000	1.0000	1.0000	1.0000	1.0000	0.3333	1.0000
set_P                 	1191323257	1.0000	0.2000	1.0000	1.0000	0.2000	1.0000	1.0000	0.2000	1.0000	1.0000	0.2000	1.0000	1.0000	0.2000	1.0000	1.0000	0.2000	1.0000	1.0000	0.2000	1.0000	1.0000	0.2000	1.0000	1.0000	0.2000	1.0000	1.0000	0.2000	1.0000	1.0000	0.2000	1.0000	1.0000	0.2000	1.0000
set_recall            	1191323257	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	1191323257	1.0000	0.3333	1.0000	1.0000	0.3333	1.0000	1.0000	0.3333	1.0000	1.0000	0.3333	1.0000	1.0000	0.3333	1.0000	1.0000	0.3333	1.0000	1.0000	0.3333	1.0000	1.0000	0.3333	1.0000	1.0000	0.3333	1.0000	1.0000	0.3333	1.0000	1.0000	0.3333	1.0000	1.0000	0.3333	1.0000
num_ret               	1191323259	1	5	1	1	5	1	1	5	1	1	5	1	1	5	1	1	5	1	1	5	1	1	5	1	1	5	1	1	5	1	1	5	1	1	5	1
num_rel               	1191323259	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	1191323259	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	1191323259	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
set_P                 	1191323259	1.0000	0.2000	1.0000	1.0000	0.2000	1.0000	1.0000	0.2000	1.0000	1.0000	0.2000	1.0000	1.0000	0.2000	1.0000	1.0000	0.2000	1.0000	1.0000	0.2000	1.0000	1.0000	0.2000	1.0000	1.0000	0.2000	1.0000	1.0000	0.2000	1.0000	1.0000	0.2000	1.0000	1.0000	0.2000	1.0000
set_recall            	1191323259	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	1191323259	1.0000	0.3333	1.0000	1.0000	0.3333	1.0000	1.0000	0.3333	1.0000	1.0000	0.3333	1.0000	1.0000	0.3333	1.0000	1.0000	0.3333	1.0000	1.0000	0.3333	1.0000	1.0000	0.3333	1.0000	1.0000	0.3333	1.0000	1.0000	0.3333	1.0000	1.0000	0.3333	1.0000	1.0000	0.3333	1.0000
num_ret               	1191323282	1	5	1	1	5	1	1	5	1	1	5	1	1	5	1	1	5	1	1	5	1	1	5	1	1	5	1	1	5	1	1	5	1	1	5	1
num_rel               	1191323282	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	1191323282	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	1191323282	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
set_P                 	1191323282	1.0000	0.2000	1.0000	1.0000	0.2000	1.0000	1.0000	0.2000	1.0000	1.0000	0.2000	1.0000	1.0000	0.2000	1.0000	1.0000	0.2000	1.0000	1.0000	0.2000	1.0000	1.0000	0.2000	1.0000	1.0000	0.2000	1.0000	1.0000	0.2000	1.0000	1.0000	0.2000	1.0000	1.0000	0.2000	1.0000
set_recall            	1191323282	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	1191323282	1.0000	0.3333	1.0000	1.0000	0.3333	1.0000	1.0000	0.3333	1.0000	1.0000	0.3333	1.0000	1.0000	0.3333	1.0000	1.0000	0.3333	1.0000	1.0000	0.3333	1.0000	1.0000	0.3333	1.0000	1.0000	0.3333	1.0000	1.0000	0.3333	1.0000	1.0000	0.3333	1.0000	1.0000	0.3333	1.0000
num_ret               	1191323284	1	5	1	1	5	1	1	5	1	1	5	1	1	5	1	1	5	1	1	5	1	1	5	1	1	5	1	1	5	1	1	5	1	1	5	1
num_rel               	1191323284	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	1191323284	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	1191323284	1.0000	1.0000	1.0000	1.0000	0.2500	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.3333	1.0000	1.0000	0.5000	1.0000	1.0000	1.0000	1.0000	1.0000	0.3333	1.0000	1.0000	1.0000	1.0000	1.0000	0.3333	1.0000
set_P                 	1191323284	1.0000	0.2000	1.0000	1.0000	0.2000	1.0000	1.0000	0.2000	1.0000	1.0000	0.2000	1.0000	1.0000	0.2000	1.0000	1.0000	0.2000	1.0000	1.0000	0.2000	1.0000	1.0000	0.2000	1.0000	1.0000	0.2000	1.0000	1.0000	0.2000	1.0000	1.0000	0.2000	1.0000	1.0000	0.2000	1.0000
set_recall            	1191323284	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	1191323284	1.0000	0.3333	1.0000	1.0000	0.3333	1.0000	1.0000	0.3333	1.0000	1.0000	0.3333	1.0000	1.0000	0.3333	1.0000	1.0000	0.3333	1.0000	1.0000	0.3333	1.0000	1.0000	0.3333	1.0000	1.0000	0.3333	1.0000	1.0000	0.3333	1.0000	1.0000	0.3333	1.0000	1.0000	0.3333	1.0000
num_ret               	1344144092	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
num_rel               	1344144092	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	1344144092	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
recip_rank            	1344144092	1.0000	1.0000	1.0000	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.0000	1.0000	1.0000	0.2500	1.0000	1.0000	1.0000	1.0000	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
set_P                 	1344144092	0.2000	0.2000	0.2000	0.2000	0.0000	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000	0.0000	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000	0.0000	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	1344144092	1.0000	1.0000	1.0000	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	1344144092	0.3333	0.3333	0.3333	0.3333	0.0000	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.0000	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.0000	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	1344144126	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
num_rel               	1344144126	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	1344144126	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	1	1	1	1
recip_rank            	1344144126	0.3333	0.3333	0.3333	0.2500	0.0000	0.2500	0.5000	0.5000	0.5000	0.5000	0.3333	0.5000	0.5000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.5000	0.5000	0.3333	0.2000	0.3333
