runid                 	all	cml-with-partial-context	majority0.1	majority0.1	majority-with-partial-context0.1	majority-hit-jaccard	majority-hit-jaccard	majority-hit-jaccard-with-partial-context	majority-hit	majority-hit	majority-hit-with-partial-context	ml-frequency	ml-frequency	ml-frequency-with-partial-context	ml-jaccard	ml-jaccard	ml-jaccard-with-partial-context	ml-ngram	ml-ngram
num_q                 	all	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39
num_ret               	all	780	629	772	652	746	780	765	746	780	765	746	780	765	746	780	765	746	780
num_rel               	all	495	495	495	495	495	495	495	495	495	495	495	495	495	495	495	495	495	495
num_rel_ret           	all	48	204	130	208	208	221	225	202	147	226	171	154	179	177	159	182	170	144
map                   	all	0.0446	0.3399	0.1937	0.3490	0.4101	0.4359	0.4445	0.4053	0.2532	0.4374	0.3189	0.2467	0.3458	0.3523	0.3348	0.3630	0.3181	0.2349
iprec_at_recall_0.00  	all	0.2193	0.7721	0.4895	0.7904	0.8861	0.9188	0.9218	0.8947	0.7471	0.9229	0.8431	0.7825	0.8984	0.8574	0.8827	0.9063	0.8431	0.7466
iprec_at_recall_0.10  	all	0.1779	0.7240	0.4395	0.7385	0.8439	0.8667	0.8787	0.8672	0.6267	0.8845	0.8056	0.6771	0.8290	0.8327	0.8296	0.8597	0.8099	0.6459
iprec_at_recall_0.20  	all	0.0699	0.6054	0.3644	0.6180	0.7265	0.7598	0.7535	0.7205	0.5192	0.7694	0.5711	0.5434	0.6364	0.5997	0.6050	0.6625	0.5773	0.5202
iprec_at_recall_0.30  	all	0.0265	0.5105	0.2633	0.5151	0.5860	0.6416	0.6671	0.5839	0.3972	0.6557	0.4254	0.4019	0.4555	0.4656	0.4453	0.4779	0.4265	0.3728
iprec_at_recall_0.40  	all	0.0265	0.4021	0.2509	0.4349	0.4859	0.5374	0.5402	0.4666	0.2536	0.5446	0.3603	0.2517	0.3943	0.3942	0.3803	0.4026	0.3613	0.2292
iprec_at_recall_0.50  	all	0.0217	0.2938	0.1967	0.2869	0.3830	0.4165	0.3974	0.3517	0.1293	0.3809	0.2782	0.1588	0.2866	0.3077	0.2676	0.2990	0.2677	0.1529
iprec_at_recall_0.60  	all	0.0179	0.2222	0.1297	0.2327	0.2732	0.3053	0.3012	0.2508	0.1170	0.2750	0.1743	0.0959	0.1883	0.2051	0.1703	0.2127	0.1734	0.0911
iprec_at_recall_0.70  	all	0.0179	0.2019	0.1125	0.2125	0.2174	0.2392	0.2424	0.2141	0.1107	0.2280	0.1530	0.0753	0.1597	0.1856	0.1547	0.1923	0.1532	0.0664
iprec_at_recall_0.80  	all	0.0157	0.1883	0.0918	0.1806	0.1966	0.1978	0.2079	0.1870	0.0755	0.1896	0.1055	0.0481	0.1125	0.1744	0.1261	0.1442	0.1060	0.0481
iprec_at_recall_0.90  	all	0.0064	0.1213	0.0441	0.1213	0.1418	0.1520	0.1703	0.1474	0.0617	0.1576	0.0747	0.0171	0.0893	0.1277	0.0971	0.1001	0.0738	0.0171
iprec_at_recall_1.00  	all	0.0064	0.1077	0.0441	0.1077	0.1302	0.1405	0.1581	0.1358	0.0617	0.1461	0.0747	0.0171	0.0893	0.1277	0.0971	0.1001	0.0738	0.0171
ndcg_cut_01            	all	0.0769	0.4359	0.1795	0.4359	0.7051	0.7179	0.7179	0.7051	0.5256	0.7179	0.6282	0.5256	0.6923	0.6282	0.6795	0.6923	0.6282	0.5128
ndcg_cut_02            	all	0.0571	0.4711	0.2520	0.4562	0.6673	0.6932	0.6981	0.6636	0.4798	0.6993	0.5897	0.5306	0.6489	0.6195	0.6757	0.6687	0.5897	0.5128
ndcg_cut_03            	all	0.0598	0.4837	0.2452	0.4650	0.6166	0.6437	0.6525	0.6276	0.4402	0.6619	0.5818	0.4646	0.6130	0.5965	0.6238	0.6385	0.5878	0.4503
ndcg_cut_04            	all	0.0648	0.4809	0.2499	0.4540	0.6066	0.6295	0.6365	0.6162	0.4117	0.6401	0.5482	0.4329	0.5623	0.5816	0.6035	0.6073	0.5520	0.4092
ndcg_cut_05            	all	0.0620	0.4940	0.2556	0.4740	0.6017	0.6193	0.6286	0.6143	0.3937	0.6278	0.5423	0.4195	0.5572	0.5669	0.5782	0.5926	0.5432	0.3957
ndcg_cut_06            	all	0.0680	0.4988	0.2614	0.4797	0.5975	0.6185	0.6243	0.6066	0.3853	0.6187	0.5357	0.4192	0.5570	0.5641	0.5615	0.5844	0.5365	0.3901
ndcg_cut_07            	all	0.0669	0.5080	0.2699	0.4909	0.5898	0.6124	0.6193	0.6011	0.3894	0.6093	0.5349	0.4183	0.5663	0.5553	0.5573	0.5785	0.5356	0.3965
ndcg_cut_08            	all	0.0701	0.5148	0.2906	0.5070	0.5821	0.6052	0.6179	0.5974	0.3943	0.6053	0.5287	0.4215	0.5583	0.5552	0.5473	0.5707	0.5294	0.3984
ndcg_cut_09            	all	0.0707	0.5173	0.2956	0.5167	0.5874	0.6070	0.6308	0.5967	0.3930	0.6085	0.5218	0.4201	0.5544	0.5481	0.5365	0.5637	0.5225	0.3987
ndcg_cut_10           	all	0.0759	0.5168	0.2991	0.5207	0.5877	0.6123	0.6319	0.5907	0.4049	0.6121	0.5179	0.4154	0.5488	0.5389	0.5285	0.5595	0.5185	0.3964
ndcg_cut_11           	all	0.0778	0.5097	0.3044	0.5164	0.5851	0.6122	0.6331	0.5883	0.4019	0.6132	0.5110	0.4191	0.5427	0.5415	0.5229	0.5586	0.5116	0.4000
ndcg_cut_12           	all	0.0842	0.5101	0.3085	0.5189	0.5832	0.6116	0.6267	0.5836	0.4069	0.6127	0.5089	0.4158	0.5411	0.5402	0.5210	0.5557	0.5095	0.3984
ndcg_cut_13           	all	0.0865	0.5111	0.3159	0.5191	0.5856	0.6140	0.6232	0.5831	0.4121	0.6134	0.5086	0.4201	0.5396	0.5374	0.5214	0.5545	0.5069	0.3999
ndcg_cut_14           	all	0.0871	0.5126	0.3168	0.5207	0.5856	0.6162	0.6226	0.5835	0.4100	0.6171	0.5067	0.4256	0.5380	0.5366	0.5211	0.5529	0.5040	0.4047
ndcg_cut_15           	all	0.0901	0.5118	0.3206	0.5220	0.5860	0.6154	0.6220	0.5840	0.4107	0.6178	0.5064	0.4253	0.5373	0.5377	0.5180	0.5542	0.5046	0.4064
ndcg_cut_16           	all	0.0947	0.5118	0.3202	0.5199	0.5870	0.6160	0.6213	0.5841	0.4102	0.6200	0.5083	0.4262	0.5375	0.5367	0.5153	0.5520	0.5035	0.4075
ndcg_cut_17           	all	0.0958	0.5162	0.3199	0.5251	0.5866	0.6146	0.6197	0.5828	0.4119	0.6196	0.5063	0.4262	0.5362	0.5374	0.5138	0.5509	0.5054	0.4109
ndcg_cut_18           	all	0.0961	0.5190	0.3254	0.5266	0.5874	0.6168	0.6205	0.5824	0.4154	0.6185	0.5064	0.4245	0.5393	0.5342	0.5117	0.5506	0.5076	0.4095
ndcg_cut_19           	all	0.0963	0.5199	0.3265	0.5295	0.5869	0.6157	0.6217	0.5800	0.4155	0.6177	0.5050	0.4256	0.5380	0.5328	0.5102	0.5501	0.5071	0.4098
ndcg_cut_20           	all	0.0976	0.5215	0.3283	0.5291	0.5876	0.6178	0.6276	0.5837	0.4149	0.6222	0.5054	0.4272	0.5373	0.5313	0.5084	0.5517	0.5049	0.4087
num_ret               	1011013747	20	5	20	5	20	20	20	20	20	20	20	20	20	20	20	20	20	20
num_rel               	1011013747	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
num_rel_ret           	1011013747	0	4	3	4	4	4	4	4	4	4	4	2	4	4	4	4	4	2
map                   	1011013747	0.0000	0.9500	0.5750	0.9500	1.0000	1.0000	1.0000	1.0000	0.4299	1.0000	0.9500	0.5000	0.9500	1.0000	1.0000	1.0000	0.9500	0.5000
iprec_at_recall_0.00  	1011013747	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
iprec_at_recall_0.10  	1011013747	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
iprec_at_recall_0.20  	1011013747	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
iprec_at_recall_0.30  	1011013747	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.4444	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
iprec_at_recall_0.40  	1011013747	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.4444	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
iprec_at_recall_0.50  	1011013747	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.4444	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
iprec_at_recall_0.60  	1011013747	0.0000	1.0000	0.3000	1.0000	1.0000	1.0000	1.0000	1.0000	0.4444	1.0000	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.0000
iprec_at_recall_0.70  	1011013747	0.0000	1.0000	0.3000	1.0000	1.0000	1.0000	1.0000	1.0000	0.4444	1.0000	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.0000
iprec_at_recall_0.80  	1011013747	0.0000	0.8000	0.0000	0.8000	1.0000	1.0000	1.0000	1.0000	0.4444	1.0000	0.8000	0.0000	0.8000	1.0000	1.0000	1.0000	0.8000	0.0000
iprec_at_recall_0.90  	1011013747	0.0000	0.8000	0.0000	0.8000	1.0000	1.0000	1.0000	1.0000	0.4444	1.0000	0.8000	0.0000	0.8000	1.0000	1.0000	1.0000	0.8000	0.0000
iprec_at_recall_1.00  	1011013747	0.0000	0.8000	0.0000	0.8000	1.0000	1.0000	1.0000	1.0000	0.4444	1.0000	0.8000	0.0000	0.8000	1.0000	1.0000	1.0000	0.8000	0.0000
ndcg_cut_01            	1011013747	0.0000	1.0000	1.0000	1.0000	0.5000	0.5000	0.5000	0.5000	0.0000	0.5000	1.0000	1.0000	1.0000	0.5000	0.5000	0.5000	1.0000	1.0000
ndcg_cut_02            	1011013747	0.0000	1.0000	1.0000	1.0000	0.5000	0.5000	0.5000	0.5000	0.3869	0.5000	1.0000	1.0000	1.0000	0.6934	0.5000	0.6934	1.0000	1.0000
ndcg_cut_03            	1011013747	0.0000	1.0000	0.8671	1.0000	0.6994	0.6994	0.6994	0.6994	0.3354	0.6994	1.0000	0.8671	1.0000	0.8671	0.6994	0.8671	1.0000	0.8671
ndcg_cut_04            	1011013747	0.0000	0.8973	0.7780	0.8973	0.8330	0.8330	0.8330	0.8330	0.3010	0.8330	0.8973	0.7780	0.8973	0.8807	0.8330	0.8807	0.8973	0.7780
ndcg_cut_05            	1011013747	0.0000	0.9895	0.7780	0.9895	0.8330	0.8330	0.8330	0.8330	0.4855	0.8330	0.9895	0.7780	0.9895	0.8807	0.8330	0.8807	0.9895	0.7780
ndcg_cut_06            	1011013747	0.0000	0.9895	0.7780	0.9895	0.8330	0.8330	0.8330	0.8330	0.4855	0.8330	0.9895	0.7780	0.9895	0.8807	0.8330	0.8807	0.9895	0.7780
ndcg_cut_07            	1011013747	0.0000	0.9895	0.7780	0.9895	0.8330	0.8330	0.8330	0.8330	0.4855	0.8330	0.9895	0.7780	0.9895	0.8807	0.8330	0.8807	0.9895	0.7780
ndcg_cut_08            	1011013747	0.0000	0.9895	0.7780	0.9895	0.8330	0.8330	0.8330	0.8330	0.5608	0.8330	0.9895	0.7780	0.9895	0.8807	0.8330	0.8807	0.9895	0.7780
ndcg_cut_09            	1011013747	0.0000	0.9895	0.7780	0.9895	0.8330	0.8330	0.8330	0.8330	0.6326	0.8330	0.9895	0.7780	0.9895	0.8807	0.8330	0.8807	0.9895	0.7780
ndcg_cut_10           	1011013747	0.0000	0.9895	0.8470	0.9895	0.8330	0.8330	0.8330	0.8330	0.6326	0.8330	0.9895	0.7780	0.9895	0.8807	0.8330	0.8807	0.9895	0.7780
ndcg_cut_11           	1011013747	0.0000	0.9895	0.8470	0.9895	0.8330	0.8330	0.8330	0.8330	0.6326	0.8330	0.9895	0.7780	0.9895	0.8807	0.8330	0.8807	0.9895	0.7780
ndcg_cut_12           	1011013747	0.0000	0.9895	0.8470	0.9895	0.8330	0.8330	0.8330	0.8330	0.6326	0.8330	0.9895	0.7780	0.9895	0.8807	0.8330	0.8807	0.9895	0.7780
ndcg_cut_13           	1011013747	0.0000	0.9895	0.8470	0.9895	0.8330	0.8330	0.8330	0.8330	0.6326	0.8330	0.9895	0.7780	0.9895	0.8807	0.8330	0.8807	0.9895	0.7780
ndcg_cut_14           	1011013747	0.0000	0.9895	0.8470	0.9895	0.8330	0.8330	0.8330	0.8330	0.6326	0.8330	0.9895	0.7780	0.9895	0.8807	0.8330	0.8807	0.9895	0.7780
ndcg_cut_15           	1011013747	0.0000	0.9895	0.8470	0.9895	0.8330	0.8330	0.8330	0.8330	0.6326	0.8330	0.9895	0.7780	0.9895	0.8807	0.8330	0.8807	0.9895	0.7780
ndcg_cut_16           	1011013747	0.0000	0.9895	0.8470	0.9895	0.8330	0.8330	0.8330	0.8330	0.6326	0.8330	0.9895	0.7780	0.9895	0.8807	0.8330	0.8807	0.9895	0.7780
ndcg_cut_17           	1011013747	0.0000	0.9895	0.8470	0.9895	0.8330	0.8330	0.8330	0.8330	0.6326	0.8330	0.9895	0.7780	0.9895	0.8807	0.8330	0.8807	0.9895	0.7780
ndcg_cut_18           	1011013747	0.0000	0.9895	0.8470	0.9895	0.8330	0.8330	0.8330	0.8330	0.6326	0.8330	0.9895	0.7780	0.9895	0.8807	0.8330	0.8807	0.9895	0.7780
ndcg_cut_19           	1011013747	0.0000	0.9895	0.8470	0.9895	0.8330	0.8330	0.8330	0.8330	0.6326	0.8330	0.9895	0.7780	0.9895	0.8807	0.8330	0.8807	0.9895	0.7780
ndcg_cut_20           	1011013747	0.0000	0.9895	0.8470	0.9895	0.8330	0.8330	0.8330	0.8330	0.6326	0.8330	0.9895	0.7780	0.9895	0.8807	0.8330	0.8807	0.9895	0.7780
num_ret               	1058967988	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
num_rel               	1058967988	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23
num_rel_ret           	1058967988	5	7	6	10	8	12	12	8	9	11	7	7	8	7	8	8	7	6
map                   	1058967988	0.0906	0.2862	0.1099	0.3457	0.3021	0.4459	0.4509	0.2860	0.3033	0.4032	0.2594	0.2240	0.3161	0.2594	0.3237	0.3263	0.2594	0.2057
iprec_at_recall_0.00  	1058967988	0.5000	1.0000	0.5000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
iprec_at_recall_0.10  	1058967988	0.5000	1.0000	0.5000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
iprec_at_recall_0.20  	1058967988	0.2500	1.0000	0.3158	0.8333	1.0000	1.0000	1.0000	1.0000	0.7143	1.0000	1.0000	0.5556	1.0000	1.0000	1.0000	1.0000	1.0000	0.5556
iprec_at_recall_0.30  	1058967988	0.0000	0.5833	0.0000	0.7778	0.6154	0.8750	1.0000	0.5333	0.7000	0.7273	0.4667	0.3684	0.7000	0.4667	0.7778	0.7778	0.4667	0.0000
iprec_at_recall_0.40  	1058967988	0.0000	0.0000	0.0000	0.5263	0.0000	0.7143	0.6667	0.0000	0.0000	0.6250	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
iprec_at_recall_0.50  	1058967988	0.0000	0.0000	0.0000	0.0000	0.0000	0.6000	0.6000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
iprec_at_recall_0.60  	1058967988	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
iprec_at_recall_0.70  	1058967988	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
iprec_at_recall_0.80  	1058967988	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
iprec_at_recall_0.90  	1058967988	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
iprec_at_recall_1.00  	1058967988	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ndcg_cut_01            	1058967988	0.0000	0.5000	0.0000	0.5000	0.5000	0.5000	0.5000	0.5000	0.5000	0.5000	0.5000	0.5000	0.5000	0.5000	0.5000	0.5000	0.5000	0.5000
ndcg_cut_02            	1058967988	0.0000	0.5000	0.1934	0.5000	0.5000	0.5000	0.5000	0.5000	0.5000	0.5000	0.5000	0.5000	0.5000	0.5000	0.5000	0.5000	0.5000	0.5000
ndcg_cut_03            	1058967988	0.2346	0.6173	0.1480	0.6173	0.5000	0.6173	0.6173	0.5000	0.5000	0.6173	0.6173	0.5000	0.6173	0.6173	0.6173	0.6173	0.6173	0.5000
ndcg_cut_04            	1058967988	0.3049	0.6524	0.1345	0.6524	0.5459	0.7442	0.7442	0.5459	0.5459	0.7442	0.6524	0.4541	0.7442	0.6524	0.7442	0.7442	0.6524	0.4541
ndcg_cut_05            	1058967988	0.2817	0.6789	0.2004	0.6028	0.6566	0.8399	0.8399	0.6566	0.5043	0.8399	0.6789	0.5718	0.7637	0.6789	0.8399	0.8399	0.6789	0.5718
ndcg_cut_06            	1058967988	0.3287	0.7000	0.2528	0.6943	0.6136	0.8504	0.8504	0.6136	0.4713	0.8504	0.6344	0.5344	0.8447	0.6344	0.8504	0.8504	0.6344	0.5344
ndcg_cut_07            	1058967988	0.3097	0.6595	0.2382	0.6542	0.5782	0.8012	0.8590	0.5782	0.5596	0.8012	0.5978	0.5035	0.7959	0.5978	0.8012	0.8012	0.5978	0.5035
ndcg_cut_08            	1058967988	0.3455	0.6253	0.3295	0.7240	0.6000	0.8115	0.8145	0.5482	0.5306	0.7597	0.5668	0.4774	0.7546	0.5668	0.7597	0.7597	0.5668	0.4774
ndcg_cut_09            	1058967988	0.3292	0.5958	0.3140	0.7370	0.5717	0.7733	0.7761	0.5223	0.5527	0.7239	0.5401	0.5020	0.7191	0.5401	0.7710	0.7710	0.5401	0.5020
ndcg_cut_10           	1058967988	0.3150	0.5700	0.3004	0.7051	0.5470	0.7398	0.7858	0.4997	0.6154	0.7358	0.5167	0.4803	0.7312	0.5167	0.7376	0.7376	0.5167	0.4803
ndcg_cut_11           	1058967988	0.3023	0.5472	0.2883	0.6768	0.5250	0.7502	0.7542	0.5198	0.5907	0.7464	0.4959	0.4610	0.7019	0.4959	0.7080	0.7481	0.4959	0.4610
ndcg_cut_12           	1058967988	0.2910	0.5641	0.2775	0.6515	0.5428	0.7222	0.7260	0.5003	0.5686	0.7185	0.5148	0.4438	0.6756	0.5148	0.7190	0.7202	0.5148	0.4438
ndcg_cut_13           	1058967988	0.2808	0.5443	0.2678	0.6286	0.5588	0.7319	0.7356	0.4828	0.5487	0.6933	0.4967	0.4282	0.6519	0.4967	0.6937	0.6949	0.4967	0.4282
ndcg_cut_14           	1058967988	0.2715	0.5263	0.2590	0.6078	0.5404	0.7408	0.7113	0.4999	0.5305	0.7034	0.4803	0.4471	0.6634	0.4803	0.6708	0.6719	0.4803	0.4140
ndcg_cut_15           	1058967988	0.2630	0.5099	0.2509	0.6201	0.5235	0.7176	0.7204	0.5155	0.5139	0.6814	0.4966	0.4331	0.6427	0.4966	0.6498	0.6509	0.4966	0.4011
ndcg_cut_16           	1058967988	0.2552	0.4947	0.2731	0.6017	0.5079	0.6963	0.6990	0.5002	0.4987	0.6909	0.4818	0.4203	0.6236	0.4818	0.6305	0.6316	0.4818	0.4189
ndcg_cut_17           	1058967988	0.2480	0.4807	0.2654	0.6129	0.4935	0.7049	0.6792	0.4861	0.4846	0.6713	0.4682	0.4084	0.6060	0.4682	0.6127	0.6137	0.4682	0.4070
ndcg_cut_18           	1058967988	0.2413	0.4677	0.2582	0.5964	0.4802	0.6858	0.6879	0.4729	0.4985	0.6532	0.4555	0.3973	0.5896	0.4555	0.5961	0.5971	0.4555	0.3960
ndcg_cut_19           	1058967988	0.2351	0.4556	0.2774	0.6068	0.4678	0.6681	0.6701	0.4607	0.4856	0.6622	0.4438	0.4129	0.5743	0.4438	0.5807	0.5817	0.4438	0.3858
ndcg_cut_20           	1058967988	0.2541	0.4443	0.2705	0.5918	0.4562	0.6763	0.6782	0.4493	0.5232	0.6457	0.4327	0.4027	0.5601	0.4327	0.5663	0.5672	0.4327	0.3762
num_ret               	1088443226	20	11	12	11	20	20	20	20	20	20	20	20	20	20	20	20	20	20
num_rel               	1088443226	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
num_rel_ret           	1088443226	3	3	3	3	3	3	3	3	3	3	2	2	2	3	3	2	2	2
map                   	1088443226	0.2778	0.5889	0.6389	0.5889	0.7778	0.7778	0.7778	0.7778	0.8333	0.7778	0.3000	0.2778	0.3000	0.5556	0.5317	0.3000	0.3000	0.2778
iprec_at_recall_0.00  	1088443226	0.3333	0.6667	0.7500	0.6667	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	0.5000	0.5000	0.6667	0.6667	0.5000	0.5000	0.5000
iprec_at_recall_0.10  	1088443226	0.3333	0.6667	0.7500	0.6667	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	0.5000	0.5000	0.6667	0.6667	0.5000	0.5000	0.5000
iprec_at_recall_0.20  	1088443226	0.3333	0.6667	0.7500	0.6667	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	0.5000	0.5000	0.6667	0.6667	0.5000	0.5000	0.5000
iprec_at_recall_0.30  	1088443226	0.3333	0.6667	0.7500	0.6667	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	0.5000	0.5000	0.6667	0.6667	0.5000	0.5000	0.5000
iprec_at_recall_0.40  	1088443226	0.3333	0.6667	0.7500	0.6667	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.4000	0.3333	0.4000	0.6667	0.6667	0.4000	0.4000	0.3333
iprec_at_recall_0.50  	1088443226	0.3333	0.6667	0.7500	0.6667	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.4000	0.3333	0.4000	0.6667	0.6667	0.4000	0.4000	0.3333
iprec_at_recall_0.60  	1088443226	0.3333	0.6667	0.7500	0.6667	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.4000	0.3333	0.4000	0.6667	0.6667	0.4000	0.4000	0.3333
iprec_at_recall_0.70  	1088443226	0.3333	0.6667	0.7500	0.6667	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.4000	0.3333	0.4000	0.6667	0.6667	0.4000	0.4000	0.3333
iprec_at_recall_0.80  	1088443226	0.2500	0.6000	0.7500	0.6000	0.3333	0.3333	0.3333	0.3333	0.5000	0.3333	0.0000	0.0000	0.0000	0.5000	0.4286	0.0000	0.0000	0.0000
iprec_at_recall_0.90  	1088443226	0.2500	0.6000	0.7500	0.6000	0.3333	0.3333	0.3333	0.3333	0.5000	0.3333	0.0000	0.0000	0.0000	0.5000	0.4286	0.0000	0.0000	0.0000
iprec_at_recall_1.00  	1088443226	0.2500	0.6000	0.7500	0.6000	0.3333	0.3333	0.3333	0.3333	0.5000	0.3333	0.0000	0.0000	0.0000	0.5000	0.4286	0.0000	0.0000	0.0000
ndcg_cut_01            	1088443226	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ndcg_cut_02            	1088443226	0.0000	0.3869	0.3869	0.3869	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.3869	0.3869	0.3869	0.3869	0.3869	0.3869	0.3869	0.3869
ndcg_cut_03            	1088443226	0.0000	0.6013	0.4683	0.6013	0.8671	0.8671	0.8671	0.8671	0.8671	0.8671	0.3354	0.3354	0.3354	0.6013	0.6013	0.3354	0.3354	0.3354
ndcg_cut_04            	1088443226	0.2290	0.6013	0.6973	0.6013	0.8671	0.8671	0.8671	0.8671	0.8671	0.8671	0.3354	0.3354	0.3354	0.6013	0.6013	0.3354	0.3354	0.3354
ndcg_cut_05            	1088443226	0.2290	0.7041	0.6973	0.7041	0.8671	0.8671	0.8671	0.8671	0.8671	0.8671	0.4383	0.3354	0.4383	0.6013	0.6013	0.4383	0.4383	0.3354
ndcg_cut_06            	1088443226	0.4183	0.7041	0.6973	0.7041	0.8671	0.8671	0.8671	0.8671	0.9618	0.8671	0.4383	0.4301	0.4383	0.6960	0.6013	0.4383	0.4383	0.4301
ndcg_cut_07            	1088443226	0.4183	0.7041	0.6973	0.7041	0.8671	0.8671	0.8671	0.8671	0.9618	0.8671	0.4383	0.4301	0.4383	0.6960	0.6899	0.4383	0.4383	0.4301
ndcg_cut_08            	1088443226	0.4183	0.7041	0.6973	0.7041	0.8671	0.8671	0.8671	0.8671	0.9618	0.8671	0.4383	0.4301	0.4383	0.6960	0.6899	0.4383	0.4383	0.4301
ndcg_cut_09            	1088443226	0.4183	0.7041	0.6973	0.7041	0.9471	0.9471	0.9471	0.9471	0.9618	0.9471	0.4383	0.4301	0.4383	0.6960	0.6899	0.4383	0.4383	0.4301
ndcg_cut_10           	1088443226	0.4183	0.7041	0.6973	0.7041	0.9471	0.9471	0.9471	0.9471	0.9618	0.9471	0.4383	0.4301	0.4383	0.6960	0.6899	0.4383	0.4383	0.4301
ndcg_cut_11           	1088443226	0.4183	0.7041	0.6973	0.7041	0.9471	0.9471	0.9471	0.9471	0.9618	0.9471	0.4383	0.4301	0.4383	0.6960	0.6899	0.4383	0.4383	0.4301
ndcg_cut_12           	1088443226	0.4902	0.7041	0.6973	0.7041	0.9471	0.9471	0.9471	0.9471	0.9618	0.9471	0.4383	0.4301	0.4383	0.6960	0.6899	0.4383	0.4383	0.4301
ndcg_cut_13           	1088443226	0.4902	0.7041	0.6973	0.7041	0.9471	0.9471	0.9471	0.9471	0.9618	0.9471	0.4383	0.4301	0.4383	0.6960	0.6899	0.4383	0.4383	0.4301
ndcg_cut_14           	1088443226	0.4902	0.7041	0.6973	0.7041	0.9471	0.9471	0.9471	0.9471	0.9618	0.9471	0.4383	0.4301	0.4383	0.6960	0.6899	0.4383	0.4383	0.4301
ndcg_cut_15           	1088443226	0.4902	0.7041	0.6973	0.7041	0.9471	0.9471	0.9471	0.9471	0.9618	0.9471	0.4383	0.4301	0.4383	0.6960	0.6899	0.4383	0.4383	0.4301
ndcg_cut_16           	1088443226	0.4902	0.7041	0.6973	0.7041	0.9471	0.9471	0.9471	0.9471	0.9618	0.9471	0.4383	0.4301	0.4383	0.6960	0.6899	0.4383	0.4383	0.4301
