runid                 	all	mh-contextualized-complete	mh-contextualized-no	mh-contextualized-partial	mh-simple-complete	mh-simple-no	mh-simple-partial	mhsw-contextualized-partial	mhw-contextualized-complete	mhw-contextualized-no	mhw-contextualized-partial	mhwcv-contextualized-complete	mhwcv-contextualized-no	mhwcv-contextualized-partial	mhwcv-simple-complete	mhwcv-simple-no	mhwcv-simple-partial	mhw-simple-complete	mhw-simple-no	mhw-simple-partial	mhwv-contextualized-complete	mhwv-contextualized-no	mhwv-contextualized-partial	mhwv-simple-complete	mhwv-simple-no	mhwv-simple-partial	ml-contextualized-complete	ml-contextualized-no	ml-contextualized-partial	ml-simple-complete	ml-simple-no	ml-simple-partial
num_ret               	1659846037	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
num_rel               	1659846037	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
num_rel_ret           	1659846037	4	4	4	3	2	3	3	4	4	4	3	3	3	3	2	3	4	2	4	3	3	3	3	2	3	2	2	2	2	2	2
map                   	1659846037	0.5604	0.5604	0.5604	0.4702	0.1458	0.4702	0.3958	0.7333	0.7333	0.7333	0.1862	0.1862	0.1862	0.2140	0.0583	0.2140	0.5943	0.1458	0.5943	0.1354	0.1354	0.1354	0.1661	0.0583	0.1661	0.3056	0.3214	0.3056	0.3214	0.1548	0.3214
iprec_at_recall_0.00  	1659846037	1.0000	1.0000	1.0000	1.0000	0.3333	1.0000	1.0000	1.0000	1.0000	1.0000	0.2727	0.2727	0.2727	0.3333	0.1333	0.3333	1.0000	0.3333	1.0000	0.2222	0.2222	0.2222	0.2500	0.1333	0.2500	1.0000	1.0000	1.0000	1.0000	0.3333	1.0000
iprec_at_recall_0.10  	1659846037	1.0000	1.0000	1.0000	1.0000	0.3333	1.0000	1.0000	1.0000	1.0000	1.0000	0.2727	0.2727	0.2727	0.3333	0.1333	0.3333	1.0000	0.3333	1.0000	0.2222	0.2222	0.2222	0.2500	0.1333	0.2500	1.0000	1.0000	1.0000	1.0000	0.3333	1.0000
iprec_at_recall_0.20  	1659846037	1.0000	1.0000	1.0000	1.0000	0.3333	1.0000	1.0000	1.0000	1.0000	1.0000	0.2727	0.2727	0.2727	0.3333	0.1333	0.3333	1.0000	0.3333	1.0000	0.2222	0.2222	0.2222	0.2500	0.1333	0.2500	1.0000	1.0000	1.0000	1.0000	0.3333	1.0000
iprec_at_recall_0.30  	1659846037	0.6667	0.6667	0.6667	0.6667	0.2500	0.6667	0.3333	1.0000	1.0000	1.0000	0.2727	0.2727	0.2727	0.2727	0.1333	0.2727	0.6667	0.2500	0.6667	0.2222	0.2222	0.2222	0.2500	0.1333	0.2500	0.2222	0.2857	0.2222	0.2857	0.2857	0.2857
iprec_at_recall_0.40  	1659846037	0.6667	0.6667	0.6667	0.6667	0.2500	0.6667	0.3333	1.0000	1.0000	1.0000	0.2727	0.2727	0.2727	0.2727	0.1333	0.2727	0.6667	0.2500	0.6667	0.2222	0.2222	0.2222	0.2500	0.1333	0.2500	0.2222	0.2857	0.2222	0.2857	0.2857	0.2857
iprec_at_recall_0.50  	1659846037	0.6667	0.6667	0.6667	0.6667	0.2500	0.6667	0.3333	1.0000	1.0000	1.0000	0.2727	0.2727	0.2727	0.2727	0.1333	0.2727	0.6667	0.2500	0.6667	0.2222	0.2222	0.2222	0.2500	0.1333	0.2500	0.2222	0.2857	0.2222	0.2857	0.2857	0.2857
iprec_at_recall_0.60  	1659846037	0.3750	0.3750	0.3750	0.2143	0.0000	0.2143	0.2500	0.6000	0.6000	0.6000	0.2727	0.2727	0.2727	0.2727	0.0000	0.2727	0.5000	0.0000	0.5000	0.1765	0.1765	0.1765	0.2143	0.0000	0.2143	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
iprec_at_recall_0.70  	1659846037	0.3750	0.3750	0.3750	0.2143	0.0000	0.2143	0.2500	0.6000	0.6000	0.6000	0.2727	0.2727	0.2727	0.2727	0.0000	0.2727	0.5000	0.0000	0.5000	0.1765	0.1765	0.1765	0.2143	0.0000	0.2143	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
iprec_at_recall_0.80  	1659846037	0.2000	0.2000	0.2000	0.0000	0.0000	0.0000	0.0000	0.3333	0.3333	0.3333	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2105	0.0000	0.2105	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
iprec_at_recall_0.90  	1659846037	0.2000	0.2000	0.2000	0.0000	0.0000	0.0000	0.0000	0.3333	0.3333	0.3333	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2105	0.0000	0.2105	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
iprec_at_recall_1.00  	1659846037	0.2000	0.2000	0.2000	0.0000	0.0000	0.0000	0.0000	0.3333	0.3333	0.3333	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2105	0.0000	0.2105	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ndcg_cut_01            	1659846037	1.0000	1.0000	1.0000	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	0.0000	1.0000
ndcg_cut_02            	1659846037	0.6131	0.6131	0.6131	0.6131	0.0000	0.6131	0.6131	1.0000	1.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6131	0.0000	0.6131	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6131	0.6131	0.6131	0.6131	0.0000	0.6131
ndcg_cut_03            	1659846037	0.6646	0.6646	0.6646	0.6646	0.1329	0.6646	0.5317	0.8671	0.8671	0.8671	0.0000	0.0000	0.0000	0.2658	0.0000	0.2658	0.7975	0.1329	0.7975	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5317	0.5317	0.5317	0.5317	0.1329	0.5317
ndcg_cut_04            	1659846037	0.5963	0.5963	0.5963	0.5963	0.1193	0.5963	0.4770	0.7780	0.7780	0.7780	0.2054	0.2054	0.2054	0.2385	0.0000	0.2385	0.7156	0.1193	0.7156	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4770	0.4770	0.4770	0.4770	0.1193	0.4770
ndcg_cut_05            	1659846037	0.5963	0.5963	0.5963	0.5963	0.1193	0.5963	0.4770	0.8703	0.8703	0.8703	0.2054	0.2054	0.2054	0.2385	0.0000	0.2385	0.7156	0.1193	0.7156	0.0000	0.0000	0.0000	0.1845	0.0000	0.1845	0.4770	0.4770	0.4770	0.4770	0.1193	0.4770
ndcg_cut_06            	1659846037	0.5963	0.5963	0.5963	0.5963	0.1193	0.5963	0.5620	0.8703	0.8703	0.8703	0.2054	0.2054	0.2054	0.2385	0.0000	0.2385	0.8005	0.1193	0.8005	0.0000	0.0000	0.0000	0.1845	0.0000	0.1845	0.4770	0.4770	0.4770	0.4770	0.1193	0.4770
ndcg_cut_07            	1659846037	0.5963	0.5963	0.5963	0.5963	0.1193	0.5963	0.5620	0.8703	0.8703	0.8703	0.2054	0.2054	0.2054	0.2385	0.0000	0.2385	0.8005	0.1193	0.8005	0.1590	0.1590	0.1590	0.1845	0.0000	0.1845	0.4770	0.5565	0.4770	0.6361	0.2783	0.6361
ndcg_cut_08            	1659846037	0.7468	0.7468	0.7468	0.5963	0.2697	0.5963	0.5620	0.8703	0.8703	0.8703	0.2054	0.2054	0.2054	0.3890	0.0000	0.3890	0.8005	0.2697	0.8005	0.1590	0.1590	0.1590	0.2598	0.0000	0.2598	0.4770	0.5565	0.4770	0.6361	0.2783	0.6361
ndcg_cut_09            	1659846037	0.7468	0.7468	0.7468	0.5963	0.2697	0.5963	0.5620	0.8703	0.8703	0.8703	0.3491	0.3491	0.3491	0.3890	0.0000	0.3890	0.8005	0.2697	0.8005	0.2308	0.2308	0.2308	0.2598	0.0000	0.2598	0.6206	0.5565	0.6206	0.6361	0.2783	0.6361
ndcg_cut_10           	1659846037	0.7468	0.7468	0.7468	0.5963	0.2697	0.5963	0.5620	0.8703	0.8703	0.8703	0.3491	0.3491	0.3491	0.3890	0.0689	0.3890	0.8005	0.2697	0.8005	0.2308	0.2308	0.2308	0.2598	0.0689	0.2598	0.6206	0.5565	0.6206	0.6361	0.2783	0.6361
ndcg_cut_11           	1659846037	0.7468	0.7468	0.7468	0.5963	0.2697	0.5963	0.5620	0.8703	0.8703	0.8703	0.4156	0.4156	0.4156	0.4555	0.0689	0.4555	0.8005	0.2697	0.8005	0.2308	0.2308	0.2308	0.2598	0.0689	0.2598	0.6206	0.5565	0.6206	0.6361	0.2783	0.6361
ndcg_cut_12           	1659846037	0.7468	0.7468	0.7468	0.5963	0.2697	0.5963	0.6909	0.9347	0.9347	0.9347	0.4156	0.4156	0.4156	0.4555	0.0689	0.4555	0.8005	0.2697	0.8005	0.2308	0.2308	0.2308	0.2598	0.0689	0.2598	0.6206	0.5565	0.6206	0.6361	0.2783	0.6361
ndcg_cut_13           	1659846037	0.7468	0.7468	0.7468	0.5963	0.2697	0.5963	0.6909	0.9347	0.9347	0.9347	0.4156	0.4156	0.4156	0.4555	0.0689	0.4555	0.8005	0.2697	0.8005	0.2308	0.2308	0.2308	0.2598	0.0689	0.2598	0.6206	0.5565	0.6206	0.6361	0.2783	0.6361
ndcg_cut_14           	1659846037	0.7468	0.7468	0.7468	0.7184	0.2697	0.7184	0.6909	0.9347	0.9347	0.9347	0.4156	0.4156	0.4156	0.4555	0.0689	0.4555	0.8005	0.2697	0.8005	0.2308	0.2308	0.2308	0.3819	0.0689	0.3819	0.6206	0.5565	0.6206	0.6361	0.2783	0.6361
ndcg_cut_15           	1659846037	0.7468	0.7468	0.7468	0.7184	0.2697	0.7184	0.6909	0.9347	0.9347	0.9347	0.4156	0.4156	0.4156	0.4555	0.1882	0.4555	0.8005	0.2697	0.8005	0.2308	0.2308	0.2308	0.3819	0.1882	0.3819	0.6206	0.5565	0.6206	0.6361	0.2783	0.6361
ndcg_cut_16           	1659846037	0.7468	0.7468	0.7468	0.7184	0.2697	0.7184	0.6909	0.9347	0.9347	0.9347	0.4156	0.4156	0.4156	0.4555	0.1882	0.4555	0.8005	0.2697	0.8005	0.2308	0.2308	0.2308	0.3819	0.1882	0.3819	0.6206	0.5565	0.6206	0.6361	0.2783	0.6361
ndcg_cut_17           	1659846037	0.7468	0.7468	0.7468	0.7184	0.2697	0.7184	0.6909	0.9347	0.9347	0.9347	0.4156	0.4156	0.4156	0.4555	0.1882	0.4555	0.8005	0.2697	0.8005	0.3452	0.3452	0.3452	0.3819	0.1882	0.3819	0.6206	0.5565	0.6206	0.6361	0.2783	0.6361
ndcg_cut_18           	1659846037	0.7468	0.7468	0.7468	0.7184	0.2697	0.7184	0.6909	0.9347	0.9347	0.9347	0.4156	0.4156	0.4156	0.4555	0.1882	0.4555	0.8005	0.2697	0.8005	0.3452	0.3452	0.3452	0.3819	0.1882	0.3819	0.6206	0.5565	0.6206	0.6361	0.2783	0.6361
ndcg_cut_19           	1659846037	0.7468	0.7468	0.7468	0.7184	0.2697	0.7184	0.6909	0.9347	0.9347	0.9347	0.4156	0.4156	0.4156	0.4555	0.1882	0.4555	0.8557	0.2697	0.8557	0.3452	0.3452	0.3452	0.3819	0.1882	0.3819	0.6206	0.5565	0.6206	0.6361	0.2783	0.6361
ndcg_cut_20           	1659846037	0.8011	0.8011	0.8011	0.7184	0.2697	0.7184	0.6909	0.9347	0.9347	0.9347	0.4156	0.4156	0.4156	0.4555	0.1882	0.4555	0.8557	0.2697	0.8557	0.3452	0.3452	0.3452	0.3819	0.1882	0.3819	0.6206	0.5565	0.6206	0.6361	0.2783	0.6361
num_ret               	1744816435	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
num_rel               	1744816435	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38
num_rel_ret           	1744816435	9	6	6	9	3	7	8	9	9	9	7	6	6	7	3	6	9	3	9	7	6	6	7	1	6	10	11	11	10	5	11
map                   	1744816435	0.0934	0.0370	0.0370	0.0913	0.0106	0.0479	0.0669	0.1020	0.0776	0.0776	0.0791	0.0387	0.0387	0.0963	0.0095	0.0406	0.1239	0.0121	0.0796	0.0737	0.0376	0.0376	0.0782	0.0015	0.0420	0.1448	0.1225	0.1225	0.1456	0.0341	0.1162
iprec_at_recall_0.00  	1744816435	0.5385	0.3158	0.3158	0.5000	0.1667	0.3500	0.4444	0.5000	0.4500	0.4500	0.5000	0.3333	0.3333	0.7500	0.1500	0.3333	0.7500	0.1818	0.4500	0.4615	0.3077	0.3077	0.5000	0.0588	0.3750	0.6667	0.5500	0.5500	0.6667	0.2941	0.5500
iprec_at_recall_0.10  	1744816435	0.5385	0.3158	0.3158	0.5000	0.0000	0.3500	0.4444	0.5000	0.4500	0.4500	0.4545	0.3333	0.3333	0.5000	0.0000	0.3333	0.5000	0.0000	0.4500	0.4615	0.3077	0.3077	0.5000	0.0000	0.3750	0.6667	0.5500	0.5500	0.6667	0.2941	0.5500
iprec_at_recall_0.20  	1744816435	0.4500	0.0000	0.0000	0.4737	0.0000	0.0000	0.4444	0.5000	0.4500	0.4500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.0000	0.4500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6000	0.5500	0.5500	0.6000	0.0000	0.5500
iprec_at_recall_0.30  	1744816435	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
iprec_at_recall_0.40  	1744816435	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
iprec_at_recall_0.50  	1744816435	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
iprec_at_recall_0.60  	1744816435	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
iprec_at_recall_0.70  	1744816435	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
iprec_at_recall_0.80  	1744816435	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
iprec_at_recall_0.90  	1744816435	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
iprec_at_recall_1.00  	1744816435	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ndcg_cut_01            	1744816435	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ndcg_cut_02            	1744816435	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3869	0.0000	0.0000	0.3869	0.0000	0.0000	0.3869	0.0000	0.0000	0.3869	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3869	0.3869	0.0000	0.0000	0.0000
ndcg_cut_03            	1744816435	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2961	0.0000	0.0000	0.2961	0.0000	0.0000	0.5307	0.0000	0.0000	0.5307	0.0000	0.0000	0.2346	0.0000	0.0000	0.2346	0.0000	0.0000	0.2346	0.2961	0.2961	0.2346	0.0000	0.0000
ndcg_cut_04            	1744816435	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2463	0.0000	0.0000	0.4144	0.0000	0.0000	0.6096	0.0000	0.0000	0.6096	0.0000	0.0000	0.1952	0.0000	0.0000	0.1952	0.0000	0.0000	0.3633	0.2463	0.2463	0.3633	0.0000	0.0000
ndcg_cut_05            	1744816435	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2140	0.0000	0.0000	0.3601	0.0000	0.0000	0.5296	0.0000	0.0000	0.5296	0.0000	0.0000	0.1696	0.0000	0.0000	0.3008	0.0000	0.0000	0.3156	0.2140	0.2140	0.4469	0.1312	0.0000
ndcg_cut_06            	1744816435	0.1078	0.0000	0.0000	0.1078	0.0000	0.0000	0.0000	0.1909	0.0000	0.0000	0.3212	0.0000	0.0000	0.4725	0.0000	0.0000	0.4725	0.0000	0.0000	0.2591	0.0000	0.0000	0.2684	0.0000	0.0000	0.3894	0.1909	0.1909	0.3987	0.1171	0.1078
ndcg_cut_07            	1744816435	0.1895	0.0000	0.0000	0.1895	0.0000	0.0000	0.0000	0.2651	0.0000	0.0000	0.3834	0.0916	0.0916	0.4292	0.0000	0.0000	0.4292	0.0000	0.0000	0.2354	0.0000	0.0000	0.3354	0.0000	0.0000	0.4454	0.1734	0.1734	0.4538	0.1980	0.1895
ndcg_cut_08            	1744816435	0.1744	0.0798	0.0798	0.1744	0.0000	0.0798	0.0798	0.2439	0.0798	0.0798	0.3528	0.0843	0.0843	0.4748	0.0000	0.0798	0.3950	0.0000	0.0798	0.2964	0.0000	0.0000	0.3884	0.0000	0.0798	0.4896	0.2394	0.2394	0.4974	0.1822	0.1744
ndcg_cut_09            	1744816435	0.2328	0.1449	0.1449	0.2328	0.0000	0.0741	0.1449	0.2974	0.1449	0.1449	0.3279	0.0783	0.0783	0.4412	0.0000	0.0741	0.3670	0.0708	0.1449	0.3462	0.0708	0.0708	0.3609	0.0000	0.0741	0.5257	0.2224	0.2224	0.5329	0.1693	0.2328
ndcg_cut_10           	1744816435	0.2816	0.1357	0.1357	0.2816	0.0000	0.0694	0.1993	0.3421	0.1993	0.1993	0.3706	0.1370	0.1370	0.4767	0.0000	0.1331	0.4073	0.0663	0.1993	0.3241	0.0663	0.0663	0.4016	0.0000	0.0694	0.4923	0.2083	0.2083	0.4990	0.1585	0.2180
ndcg_cut_11           	1744816435	0.3232	0.1278	0.1278	0.3232	0.0000	0.1233	0.1878	0.3802	0.1878	0.1878	0.4070	0.1291	0.1291	0.4492	0.0000	0.1832	0.4416	0.1203	0.1878	0.3054	0.1203	0.1203	0.3784	0.0000	0.1233	0.5216	0.2541	0.2541	0.4702	0.1493	0.2054
ndcg_cut_12           	1744816435	0.3591	0.1211	0.1211	0.3591	0.0531	0.1698	0.1778	0.3600	0.1778	0.1778	0.3854	0.1753	0.1753	0.4253	0.0000	0.2265	0.4182	0.1139	0.2309	0.3422	0.1669	0.1669	0.3583	0.0000	0.1698	0.4940	0.2937	0.2937	0.4452	0.1945	0.2476
ndcg_cut_13           	1744816435	0.3905	0.1151	0.1151	0.3415	0.0995	0.1615	0.2181	0.3914	0.1691	0.1691	0.3665	0.1667	0.1667	0.4045	0.0490	0.2154	0.4467	0.1083	0.2686	0.3745	0.2078	0.2078	0.3898	0.0000	0.2105	0.4697	0.3283	0.3283	0.4724	0.1849	0.2845
ndcg_cut_14           	1744816435	0.3727	0.1555	0.1555	0.3259	0.0950	0.1541	0.2538	0.3735	0.2070	0.2070	0.3498	0.1591	0.1591	0.3860	0.0468	0.2056	0.4719	0.1034	0.2563	0.3574	0.1983	0.1983	0.3720	0.0000	0.2465	0.4939	0.3589	0.3589	0.4965	0.1765	0.3171
ndcg_cut_15           	1744816435	0.3568	0.1488	0.1488	0.3120	0.0909	0.1902	0.2430	0.4002	0.2408	0.2408	0.3349	0.1523	0.1523	0.3696	0.0875	0.1968	0.4518	0.0989	0.2881	0.3422	0.1899	0.1899	0.3561	0.0000	0.2360	0.5155	0.3436	0.3436	0.5180	0.2116	0.3036
ndcg_cut_16           	1744816435	0.3425	0.1830	0.1830	0.2995	0.0873	0.2226	0.2733	0.4243	0.2712	0.2712	0.3215	0.1863	0.1863	0.3948	0.0840	0.1889	0.4738	0.0950	0.2765	0.3685	0.1823	0.1823	0.3419	0.0000	0.2666	0.4949	0.3699	0.3699	0.4972	0.2031	0.3315
ndcg_cut_17           	1744816435	0.3296	0.1760	0.1760	0.3260	0.0840	0.2142	0.3008	0.4082	0.2988	0.2988	0.3471	0.2170	0.2170	0.3799	0.0808	0.2196	0.4559	0.0914	0.2661	0.3546	0.1754	0.1754	0.3289	0.0378	0.2565	0.4762	0.3937	0.3937	0.4784	0.2333	0.3568
ndcg_cut_18           	1744816435	0.3178	0.2055	0.2055	0.3501	0.1167	0.2423	0.3258	0.3936	0.3239	0.3239	0.3347	0.2450	0.2450	0.3663	0.0779	0.2117	0.4396	0.1239	0.2923	0.3419	0.2049	0.2049	0.3172	0.0364	0.2474	0.4591	0.4154	0.4154	0.4613	0.2249	0.3798
ndcg_cut_19           	1744816435	0.3410	0.2325	0.2325	0.3722	0.1128	0.2341	0.3147	0.4142	0.3129	0.3129	0.3573	0.2367	0.2367	0.3878	0.0753	0.2385	0.4586	0.1197	0.3164	0.3303	0.1979	0.1979	0.3064	0.0352	0.2390	0.4435	0.4353	0.4353	0.4796	0.2173	0.4008
ndcg_cut_20           	1744816435	0.3623	0.2250	0.2250	0.3601	0.1091	0.2589	0.3045	0.4008	0.3351	0.3351	0.3457	0.2290	0.2290	0.3753	0.1052	0.2308	0.4438	0.1158	0.3385	0.3196	0.2238	0.2238	0.3288	0.0341	0.2312	0.4615	0.4535	0.4535	0.4641	0.2103	0.4202
num_ret               	1802054300	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
num_rel               	1802054300	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29
num_rel_ret           	1802054300	7	5	5	7	7	7	6	6	6	6	7	7	7	7	8	7	6	8	6	8	9	9	8	7	9	6	6	6	6	7	6
map                   	1802054300	0.1923	0.1456	0.1456	0.1996	0.1187	0.1622	0.1695	0.1826	0.1609	0.1609	0.2220	0.1903	0.1903	0.2230	0.1491	0.1815	0.1931	0.1983	0.1670	0.2690	0.2249	0.2249	0.2690	0.0834	0.1949	0.1655	0.1663	0.1491	0.1770	0.1473	0.1344
iprec_at_recall_0.00  	1802054300	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.3750	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
iprec_at_recall_0.10  	1802054300	1.0000	1.0000	1.0000	1.0000	0.4615	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.6000	0.7500	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.3750	0.7500	1.0000	1.0000	1.0000	1.0000	0.7500	0.6000
iprec_at_recall_0.20  	1802054300	0.3750	0.0000	0.0000	0.4000	0.4615	0.5000	0.4000	0.4615	0.3750	0.3750	1.0000	0.7500	0.7500	1.0000	0.4444	0.6667	0.6000	0.4667	0.4615	1.0000	0.5625	0.5625	1.0000	0.3684	0.5385	0.3000	0.6000	0.3000	0.3000	0.5000	0.4000
iprec_at_recall_0.30  	1802054300	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5625	0.5625	0.0000	0.0000	0.4737	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
iprec_at_recall_0.40  	1802054300	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
iprec_at_recall_0.50  	1802054300	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
iprec_at_recall_0.60  	1802054300	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
iprec_at_recall_0.70  	1802054300	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
iprec_at_recall_0.80  	1802054300	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
iprec_at_recall_0.90  	1802054300	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
